"","Total","Homme","Femme"
"16_26",0.000620749038806614,0.000418650397521903,0.000201608705184626
"32_39",0.000551545564669728,0.000415833264946419,0.000136692171923477
"40_52",0.00138553929103797,0.000942392088511856,0.0004419223622759
"53_65",0.00199538725161771,0.00113616181609514,0.000860450275772782
"66_76",0.0031080321349088,0.00121124452343303,0.00189678761147577
"cumul",0.00766125328104082,0.00412428209050835,0.00353746112663256
