"","GEO_CODE","Lat","Long","Pop","Pop_male","Pop_female","Pop_16_26","Pop_32_39","Pop_40_52","Pop_53_65","Pop_66_76","Age_Moyen","Age_Median","Male_total","Female_total","Pop_Male_16_26","Pop_Female_16_26","Pop_Male_32_39","Pop_Female_32_39","Pop_Male_40_52","Pop_Female_40_52","Pop_Male_53_65","Pop_Female_53_65","Pop_Male_66_76","Pop_Female_66_76","sal_1","sal_2","sal_3","sal_4","sal_5","sal_6","sal_7","sal_8","sal_9","sal_10","sal_11","sal_1_m","sal_2_m","sal_3_m","sal_4_m","sal_5_m","sal_6_m","sal_7_m","sal_8_m","sal_9_m","sal_10_m","sal_11_m","sal_1_f","sal_2_f","sal_3_f","sal_4_f","sal_5_f","sal_6_f","sal_7_f","sal_8_f","sal_9_f","sal_10_f","sal_11_f","Total_Habitation","Propriétaire","Locataire","Condo","Celibataire","Conjoint_fait","Marie","Celibataire_M","Conjoint_fait_M","Marie_M","Celibataire_F","Conjoint_fait_F","Marie_F","Maison_Detache","Appartement","Bilingue","Couple_1","Couple_2","Couple_3"
"347","J5M",45.8574363766,-73.774693324,20765,10640,10120,2982,2468,3482,3357,1450,36.3,35.2,10640,10120,1465,1504,1254,1219,1843,1642,1719,1631,759,700,1920,3035,3375,3060,2130,1120,510,185,185,85,30,755,1160,1540,1650,1365,805,365,155,160,75,30,1160,1880,1830,1410,765,315,145,30,25,10,5,5990,2070,235,6375,5720,4230,3325,2855,2115,3045,2865,2115,8065,8375,1575,5865,1170,1020,485
"348","J5R",45.3963790651,-73.4676493111,45160,22340,22820,5728,4701,9780,7611,3864,38.6,40.4,22340,22820,2935,2787,2177,2524,4828,4950,3750,3863,1847,2017,3900,4730,4550,4780,4280,3425,2700,1845,3910,1130,710,1625,1855,1945,2190,2075,1755,1435,1125,2675,720,480,2270,2875,2605,2585,2210,1670,1260,725,1235,410,225,13725,3805,3125,13695,8515,13685,6460,4260,6840,7235,4255,6845,17525,19025,5400,27760,2195,3225,1095
"349","J5T",45.9013137577,-73.3175606882,13655,6875,6785,1802,1540,2445,2481,1228,38.9,39.1,6875,6785,935,863,762,773,1215,1227,1282,1201,586,635,1230,1915,2040,1990,1430,935,495,210,240,105,40,485,730,875,1040,880,625,345,155,185,85,35,750,1195,1160,950,550,315,150,55,50,25,10,4240,1115,210,4090,3500,3465,2075,1755,1735,2010,1745,1725,5355,5510,820,4280,710,755,305
"350","J5V",46.2351837494,-72.9112791675,7155,3425,3730,664,472,1098,1731,1190,51.1,55.3,3425,3730,352,305,247,225,553,555,840,901,549,638,690,1705,1505,950,505,235,115,50,90,30,20,295,680,710,510,305,150,70,40,70,25,15,395,1025,795,440,200,80,45,10,20,5,0,1865,1655,260,3220,1330,1905,1455,670,955,1765,660,945,3520,3645,1640,1040,255,200,50
"351","J5W",45.8464699009,-73.399338999,25870,12820,13045,3392,2990,4441,4681,2312,39.1,39,12820,13045,1730,1671,1491,1499,2167,2276,2304,2376,1164,1152,2120,3235,3595,3515,2860,1880,1225,550,715,255,125,850,1180,1590,1730,1555,1150,760,395,530,185,105,1270,2050,2005,1790,1305,730,460,160,180,70,25,7580,2595,835,8135,6385,6410,3905,3195,3200,4230,3190,3210,10170,11035,2745,8815,1370,1465,550
"352","J5X",45.8484663769,-73.5057601155,8690,4320,4370,1177,960,1531,1493,688,38.5,38,4320,4370,601,578,470,493,766,773,758,733,344,346,790,1235,1340,1195,840,550,285,135,130,50,30,325,455,615,645,485,355,200,95,105,45,25,465,780,725,550,355,190,85,35,30,10,10,2375,1020,135,2780,2225,1950,1355,1115,965,1430,1110,980,3395,3870,785,2335,475,415,195
"353","J5Y",45.7755872636,-73.4225039302,29380,14345,15040,4020,3055,5758,5739,2274,38.6,40,14345,15040,2076,1948,1403,1652,2781,2980,2789,2943,1061,1220,2590,3200,3240,3580,3265,2445,1715,910,1415,500,295,1055,1180,1320,1580,1645,1330,1020,600,1060,355,225,1535,2020,1915,1995,1620,1115,695,310,360,145,70,9250,1610,2010,8760,5705,9145,3975,2850,4555,4780,2860,4590,10840,11385,2865,13345,1570,1855,805
"354","J5Z",45.7642146047,-73.5035759655,27325,13320,14010,3647,2815,5256,5529,2536,40.4,41.9,13320,14010,1904,1736,1324,1496,2498,2761,2621,2905,1227,1311,2360,3590,3800,3975,3185,2145,1265,585,705,300,160,940,1325,1680,1890,1650,1255,780,390,535,220,130,1410,2265,2120,2090,1535,885,485,195,165,75,30,8230,2945,1860,9320,5755,7595,4250,2880,3795,5065,2875,3805,11175,12740,3945,10335,1430,1480,535
"355","J6A",45.7353066615,-73.4562308181,33485,16115,17375,4051,2496,5232,7066,5005,46.5,50.3,16115,17375,2106,1936,1213,1283,2557,2685,3398,3664,2311,2698,3090,4905,4960,4735,3715,2380,1480,760,1230,430,230,1150,1760,2060,2340,2015,1465,955,490,910,305,180,1935,3145,2900,2390,1700,915,520,265,320,125,50,10260,3895,1775,11870,6170,10965,5275,3085,5480,6600,3090,5485,14180,13845,5035,14305,1440,1485,605
"356","J6E",46.0319418291,-73.4483835326,43875,20500,23375,5114,3817,6396,9068,6326,46.4,49.6,20500,23375,2598,2516,1890,1925,3065,3331,4111,4956,2800,3522,4125,8010,7185,5990,3775,2415,1395,660,995,315,170,1780,3080,3105,2970,2015,1445,800,420,700,215,115,2340,4925,4080,3020,1765,970,595,235,300,100,55,10375,9875,1865,18415,8270,11300,7820,4125,5600,10590,4145,5700,20240,21250,10285,12185,1570,1500,635
