"","GEO_CODE","Lat","Long","Pop","Pop_male","Pop_female","Pop_16_26","Pop_32_39","Pop_40_52","Pop_53_65","Pop_66_76","Age_Moyen","Age_Median","Male_total","Female_total","Pop_Male_16_26","Pop_Female_16_26","Pop_Male_32_39","Pop_Female_32_39","Pop_Male_40_52","Pop_Female_40_52","Pop_Male_53_65","Pop_Female_53_65","Pop_Male_66_76","Pop_Female_66_76","sal_1","sal_2","sal_3","sal_4","sal_5","sal_6","sal_7","sal_8","sal_9","sal_10","sal_11","sal_1_m","sal_2_m","sal_3_m","sal_4_m","sal_5_m","sal_6_m","sal_7_m","sal_8_m","sal_9_m","sal_10_m","sal_11_m","sal_1_f","sal_2_f","sal_3_f","sal_4_f","sal_5_f","sal_6_f","sal_7_f","sal_8_f","sal_9_f","sal_10_f","sal_11_f","Total_Habitation","Propriétaire","Locataire","Condo","Celibataire","Conjoint_fait","Marie","Celibataire_M","Conjoint_fait_M","Marie_M","Celibataire_F","Conjoint_fait_F","Marie_F","Maison_Detache","Appartement","Bilingue","Couple_1","Couple_2","Couple_3"
"377","J7M",45.7887880301,-73.7442324568,24205,12105,12100,3362,3101,4759,3588,1465,35.3,35.6,12105,12100,1719,1634,1511,1592,2416,2333,1794,1788,706,755,2180,3020,3315,3345,2680,1605,905,360,300,150,65,890,1090,1405,1700,1550,1070,600,290,225,105,50,1280,1930,1910,1650,1130,540,305,70,70,45,15,7155,1455,730,7330,5670,5680,3605,2830,2840,3720,2840,2840,8615,9405,1605,8175,1300,1480,725
"378","J7N",45.6345380783,-74.1005024229,27505,13730,13780,3714,3581,5156,3935,1755,35.3,35.1,13730,13780,1826,1899,1744,1832,2606,2550,2027,1907,888,863,2150,3135,3550,3790,3095,1975,1275,605,730,305,160,835,1205,1460,1870,1730,1215,860,435,550,235,115,1310,1935,2090,1920,1365,760,410,170,175,75,45,7725,2740,1000,7550,7275,6340,3740,3630,3175,3805,3645,3165,10490,10755,3005,11445,1390,1805,715
"379","J7P",45.5768889755,-73.8788158756,24830,12180,12650,3111,2465,4344,4982,3001,42,43.6,12180,12650,1569,1547,1226,1239,2130,2214,2365,2616,1395,1602,2225,3655,3685,3665,2755,1690,1090,510,680,250,150,815,1290,1560,1870,1525,1025,720,335,515,180,115,1410,2360,2125,1790,1225,660,375,180,170,75,30,7440,3170,1740,8795,4670,7310,4030,2330,3645,4765,2340,3660,10600,11060,4415,12085,1110,1200,480
"380","J7R",45.5732401443,-73.9389661963,36675,17730,18945,4820,3818,6919,7057,3370,41,42.1,17730,18945,2450,2361,1826,1984,3405,3509,3423,3645,1500,1874,3495,4870,4950,4975,3930,2670,1725,830,1110,405,225,1470,1825,2025,2335,2030,1555,1065,575,850,310,165,2030,3045,2925,2645,1900,1110,660,255,260,100,55,10480,4355,865,12820,7140,10450,5720,3565,5255,7095,3570,5200,14840,16400,4465,19425,1825,2050,760
"381","J7T",45.3658399978,-74.1206424402,26700,13480,13220,3450,2517,6080,4865,1970,38,40.6,13480,13220,1795,1648,1194,1328,2994,3076,2490,2371,1034,930,2625,2840,2755,2875,2625,2010,1510,875,1890,555,385,1050,1165,1190,1310,1330,1140,895,600,1415,390,290,1580,1680,1560,1565,1300,870,615,280,480,160,95,8575,800,255,6840,4620,9580,3465,2305,4800,3380,2310,4775,9375,9510,615,18165,1325,2020,835
"382","J7V",45.391481097,-73.9916530592,63005,30755,32250,7648,7217,12763,10708,5179,38.9,39.9,30755,32250,3886,3762,3417,3800,6318,6450,5203,5500,2411,2770,5410,7185,7530,8160,6990,4655,3015,1705,2540,895,480,2235,2820,3215,3930,3575,2535,1740,1115,1830,635,355,3175,4370,4310,4230,3415,2125,1265,590,710,270,125,19250,4980,3625,19565,9950,20890,8930,4960,10435,10635,4985,10455,24235,26230,6600,41850,3125,4000,1550
"383","J7W",45.3664506063,-73.9735559727,14555,7250,7310,1796,1566,2987,2539,1284,39.2,40.5,7250,7310,933,863,749,825,1477,1515,1249,1291,630,658,1395,1660,1760,1855,1615,1165,720,395,550,190,125,575,665,770,885,825,635,425,270,415,130,95,815,990,990,970,795,530,295,125,125,60,25,4815,655,585,4285,2030,5350,2055,1010,2675,2235,1020,2675,5470,6095,950,10105,765,1000,385
"384","J7X",45.2639504906,-74.2257962699,5370,2620,2750,701,668,991,806,432,36.9,37,2620,2750,358,343,318,350,474,512,379,432,200,232,390,620,710,830,635,415,230,85,110,45,25,145,220,305,405,320,245,145,55,90,35,20,245,400,405,420,310,175,80,30,20,5,5,1510,690,245,1655,1345,1200,745,670,600,910,675,600,2200,2590,700,2500,270,320,110
"385","J7Y",45.8057523488,-74.0164847587,24935,11875,13060,3241,2212,3856,4734,3434,45.1,47,11875,13060,1630,1608,1133,1084,1899,1962,2198,2535,1526,1904,2365,4525,4375,3455,2275,1240,650,275,385,145,75,950,1725,1875,1725,1315,755,415,205,285,100,60,1410,2795,2505,1735,955,485,230,75,100,45,15,5685,5955,2190,10970,4915,5690,4860,2460,2870,6110,2460,2825,11645,12020,7725,8495,900,735,315
"386","J7Z",45.7787838987,-73.9828530066,29355,14070,15280,3821,2551,4375,5759,3776,45.6,47.8,14070,15280,1959,1866,1341,1215,2083,2292,2716,3042,1640,2132,2975,5955,5195,4080,2510,1305,685,275,325,135,50,1320,2310,2315,2070,1425,800,450,200,245,100,40,1660,3645,2875,2010,1085,505,235,70,80,30,10,6295,7650,1460,13370,5630,6490,5935,2805,3285,7430,2830,3200,13930,13765,8780,9545,1075,840,385
"387","J8A",45.9200961671,-73.9979530697,9115,4755,4360,1021,951,1700,2116,910,41.9,44.5,4755,4360,518,505,470,483,898,807,1129,987,506,397,900,1335,1330,1425,950,625,365,220,310,120,55,380,575,625,750,550,395,250,150,245,90,45,520,765,710,670,400,225,110,70,70,30,5,3405,600,35,2755,2615,2315,1550,1305,1160,1205,1310,1155,4005,4070,290,4295,450,415,160
"388","J8B",45.9680647524,-74.1230274333,12915,6215,6705,1178,1041,2122,3260,2000,47.4,52.2,6215,6705,580,602,504,539,1022,1100,1563,1697,974,1026,1330,2230,2150,1785,1220,790,480,270,450,120,85,585,890,970,850,645,460,300,170,320,80,65,745,1340,1180,940,570,330,180,100,125,40,25,4320,1960,670,4940,2990,3340,2215,1505,1675,2725,1480,1665,6285,6845,1960,7045,530,455,145
"389","J8C",46.0478341761,-74.3495220459,10555,4990,5570,1041,831,1635,2559,1644,47.6,52.6,4990,5570,529,512,411,420,772,860,1195,1368,773,875,1060,2220,1920,1425,880,505,255,130,240,70,35,490,895,870,690,470,305,155,80,170,45,25,570,1325,1050,740,405,205,100,45,75,25,15,3095,1955,350,4260,2045,2890,1845,1015,1450,2415,1030,1440,5040,5290,2065,4110,375,345,120
"390","J8E",46.1559972627,-74.6034064358,9685,4665,5020,1093,769,1671,2199,1418,46.8,50.4,4665,5020,562,536,387,379,774,884,1064,1138,670,748,915,1655,1770,1445,905,480,265,160,360,90,70,420,650,820,705,475,260,165,100,250,55,50,500,1005,950,735,430,220,100,55,110,30,20,2925,1650,495,3945,1930,2635,1795,965,1315,2150,965,1320,4575,4710,1770,4915,370,365,110
"391","J8G",45.760018873,-74.5329886739,7850,3930,3920,842,691,1384,1857,1070,44.8,48.9,3930,3920,416,419,339,352,690,684,930,932,558,514,900,1415,1390,1120,660,430,235,90,125,55,25,370,585,675,625,400,260,150,60,95,30,20,530,835,720,495,270,175,80,30,35,25,5,2700,790,70,2730,1625,2375,1360,815,1190,1370,815,1185,3485,3495,500,3960,360,285,140
"392","J8H",45.725411859,-74.3307539028,13810,6730,7085,1548,1113,2244,3040,1883,46.2,49.9,6730,7085,804,737,552,561,1104,1135,1482,1558,885,998,1510,2810,2550,1785,1100,640,355,160,245,65,55,665,1145,1160,925,625,390,230,120,175,45,50,845,1670,1385,860,475,245,125,35,70,15,10,3565,2910,345,5700,2530,3705,2625,1265,1830,3075,1265,1880,6455,6730,2630,6190,555,420,185
"393","J8L",45.7155391177,-75.3945041149,18625,9220,9410,2333,1762,3342,3819,1841,41.2,43,9220,9410,1178,1148,862,895,1669,1673,1866,1957,899,940,1785,2815,2575,2385,2030,1420,780,390,445,190,100,770,1135,1175,1170,1125,780,440,255,335,140,75,1010,1675,1395,1220,910,640,340,135,110,50,30,5590,2185,260,6240,3550,5545,2950,1770,2765,3295,1780,2785,7775,9310,1480,10455,860,840,380
"394","J8M",45.543491736,-75.427417318,12980,6405,6580,1892,1594,2481,1924,783,35.3,34.8,6405,6580,934,959,786,803,1233,1253,961,963,376,407,1065,1440,1650,1770,1630,1120,560,270,205,115,35,445,575,770,870,865,605,330,155,150,85,25,615,860,880,900,765,510,230,115,55,30,10,3760,1290,215,4055,2955,3130,1955,1470,1560,2100,1480,1570,5060,6790,970,7070,700,700,320
"395","J8N",45.7335679437,-75.720467338,12055,6275,5780,1405,1346,2501,2429,931,38.9,40.7,6275,5780,736,669,699,647,1290,1208,1276,1146,511,415,1050,1355,1450,1560,1450,1045,685,380,440,190,105,475,670,700,805,775,575,375,240,295,125,65,575,680,750,750,670,475,305,135,150,70,40,4185,595,95,3210,2745,3810,1815,1365,1910,1395,1380,1905,4770,4995,470,7175,680,730,230
"396","J8P",45.4868708143,-75.6157108301,33620,16415,17205,4658,3540,5671,6454,3263,40.2,40.2,16415,17205,2334,2322,1758,1779,2797,2879,3085,3369,1521,1740,3045,4720,5055,4970,3930,2425,1255,620,570,285,110,1380,1930,2335,2470,2060,1275,705,355,360,180,75,1660,2795,2725,2495,1870,1140,555,255,210,105,35,9190,5610,960,12800,6020,9090,5970,2985,4540,6825,3040,4545,14810,17255,5720,19990,1530,1290,570
"397","J8R",45.528716788,-75.6087590636,29175,14290,14885,4354,3376,6133,5002,1503,35.6,36.5,14290,14885,2134,2220,1574,1805,2952,3188,2495,2500,748,750,2295,2785,2840,3315,3490,2880,2000,1135,1145,530,260,1010,1185,1235,1535,1690,1410,1045,690,800,355,195,1285,1605,1605,1780,1800,1470,955,440,345,180,70,8600,2210,615,8720,5585,8640,4055,2780,4305,4665,2805,4335,10810,13695,2105,18325,1575,1925,720
"398","J8T",45.4776098009,-75.705946823,39350,18710,20635,5026,3301,6509,8136,4981,45.1,47.9,18710,20635,2530,2495,1637,1664,3138,3374,3811,4321,2213,2764,3820,6000,5955,5395,4235,2495,1445,870,1220,485,245,1705,2520,2615,2625,2080,1310,790,500,810,315,165,2110,3475,3345,2765,2155,1190,655,370,410,165,80,10510,7325,1945,16475,5155,12440,7210,2575,6200,9270,2580,6235,17820,19770,7935,24200,1625,1365,620
"399","J8V",45.5711271059,-75.7614532724,26465,13145,13320,3418,2863,5690,4892,1933,37.6,39.6,13145,13320,1783,1636,1360,1503,2794,2898,2392,2493,984,956,2170,2515,2245,2525,2805,2495,1955,1355,1945,795,435,985,1120,1010,1160,1330,1235,960,755,1305,535,280,1185,1395,1230,1360,1480,1265,995,600,640,260,155,8570,1190,1095,7390,4645,8955,3565,2320,4470,3820,2325,4480,9765,11020,1845,17780,1375,1770,730
"400","J8X",45.4399927195,-75.7119028489,9750,5005,4745,1727,1239,1551,1567,816,41.4,38,5005,4745,885,838,690,546,866,685,825,742,385,433,1295,2025,1605,1140,875,470,285,150,180,70,50,720,920,815,610,470,265,165,85,100,40,25,575,1105,790,530,405,205,120,60,80,30,20,1040,4425,1035,5730,1265,1750,2955,650,880,2780,610,865,5470,4340,4400,5665,275,155,95
"401","J8Y",45.4479616887,-75.7433796804,23240,11340,11900,3247,2545,3774,4519,2358,43.3,43.3,11340,11900,1652,1592,1332,1213,1936,1845,2236,2276,1074,1284,2660,4025,3630,3185,2305,1370,835,470,435,205,110,1370,1845,1740,1565,1160,695,420,255,270,120,65,1290,2175,1895,1620,1145,680,415,215,170,90,40,4730,7215,915,11585,3125,5495,5525,1560,2750,6055,1565,2740,11940,11435,7675,14305,785,625,315
"402","J8Z",45.4716289365,-75.7616463932,14940,7195,7750,2397,1530,2560,3010,1374,40,40.1,7195,7750,1159,1247,749,781,1231,1324,1410,1605,646,728,1635,2045,1915,1865,1470,1060,780,480,855,335,190,785,875,865,895,680,495,365,260,520,190,110,855,1170,1055,970,790,565,420,220,330,145,75,3280,3950,1430,6555,2135,3955,2950,1070,1965,3605,1060,1990,7230,7365,4490,9935,660,560,250
"403","J9A",45.4279108531,-75.7711075584,21440,10235,11205,3110,2682,4233,3336,1369,37.3,37.4,10235,11205,1498,1614,1291,1394,2023,2218,1558,1786,614,752,1975,2015,1915,2130,2120,1760,1600,1145,1450,610,305,925,860,825,940,945,775,750,640,885,340,180,1050,1155,1090,1190,1175,985,850,505,565,270,125,5835,3310,2885,7925,3250,6130,3405,1640,3060,4520,1610,3070,9145,10950,4465,14805,945,1190,455
"404","J9B",45.5308338461,-75.8563245519,6895,3485,3415,777,480,1590,1592,606,40.5,44.8,3485,3415,426,352,218,254,779,816,811,786,338,273,595,620,580,525,595,530,500,415,940,315,175,310,285,270,235,280,270,250,235,540,175,100,285,340,310,290,310,260,245,185,400,135,75,2420,190,10,1765,1025,2725,935,515,1355,825,505,1370,2610,2620,90,4900,320,510,185
"405","J9E",46.3932790158,-75.9465076047,7775,3855,3920,872,597,1304,1716,1059,45.2,49.2,3855,3920,468,398,291,301,638,663,841,879,509,556,845,1690,1350,995,630,330,180,65,85,40,10,390,685,655,535,360,190,95,45,60,30,10,455,1000,695,455,270,140,80,20,30,10,0,2325,1310,95,3360,1280,1975,1600,640,990,1760,640,985,3645,3825,830,2720,305,220,105
"406","J9H",45.3931911055,-75.828847659,31025,15005,16020,3859,3544,5637,5369,2650,38.9,39.2,15005,16020,1994,1868,1663,1883,2709,2928,2507,2867,1237,1413,2820,3365,3410,3475,3250,2530,1820,1110,1430,645,290,1290,1460,1510,1645,1545,1205,900,570,895,395,170,1530,1905,1905,1830,1710,1325,925,540,535,250,120,8920,3865,1785,10715,4300,9670,4720,2150,4820,5990,2145,4850,12780,15980,3875,20905,1385,1605,750
"407","J9J",45.4393626002,-75.8464663122,32735,15975,16755,4013,4959,6326,4229,1564,33.2,34.1,15975,16755,1913,2103,2260,2699,3169,3165,2089,2136,791,767,2570,2500,2335,2810,3235,3180,2520,1795,2200,955,480,1100,1045,995,1290,1520,1505,1240,960,1455,580,305,1475,1450,1340,1520,1710,1675,1280,840,750,370,175,9650,2270,2460,8355,4755,11100,3725,2380,5535,4630,2375,5560,11920,15070,2825,22165,1630,2330,1080
"408","J9L",46.5617640197,-75.6000190898,14065,6915,7155,1605,1272,2272,3140,1811,44.8,47.7,6915,7155,825,775,628,644,1136,1139,1532,1611,883,927,1355,2760,2420,1935,1255,615,365,150,195,70,40,570,1180,1145,1080,740,340,190,95,135,45,35,785,1580,1270,855,515,270,175,55,60,25,10,3990,2355,290,5205,3265,3545,2435,1630,1785,2770,1635,1765,6345,6470,2080,2600,580,555,200
"409","J9P",47.6437039137,-77.5249424761,32765,16550,16220,4239,3242,5580,6733,3260,41.2,42.3,16550,16220,2213,2032,1652,1588,2830,2745,3395,3348,1592,1663,2850,4710,4660,4335,3185,2090,1400,900,1790,590,370,1110,1720,1935,2035,1900,1345,905,715,1525,505,315,1740,2990,2730,2305,1290,750,495,185,265,85,55,9295,5350,900,11110,8555,7545,5630,4270,3765,5480,4285,3780,14645,15150,6010,10635,1395,1425,680
"410","J9T",48.6143948042,-78.0102146958,13380,6560,6825,1767,1271,2131,2644,1490,42.3,43.3,6560,6825,922,850,620,654,1071,1060,1304,1340,677,818,1175,1935,1910,1765,1400,815,545,330,470,160,80,500,710,805,840,795,505,325,245,380,135,60,675,1225,1105,925,600,315,225,80,95,20,20,3455,2230,385,4950,3015,3195,2320,1505,1590,2630,1505,1605,5790,6200,2290,3195,485,565,270
"411","J9V",47.3513696004,-79.454000307,3460,1670,1790,360,270,565,756,478,46.4,50.2,1670,1790,193,160,132,141,288,284,373,395,218,256,260,560,530,505,385,210,145,75,85,30,15,120,220,230,250,210,120,80,40,65,25,10,135,340,305,250,170,90,65,40,20,5,5,1100,525,65,1305,690,975,600,345,490,705,350,490,1620,1765,420,1050,110,125,65
"412","J9X",48.3137103717,-78.9655359503,23670,11435,12235,3549,2166,3488,4605,2616,43.4,44.1,11435,12235,1803,1752,1152,1022,1686,1802,2229,2386,1177,1444,2205,3925,3705,3135,2200,1345,940,525,910,345,165,900,1505,1640,1480,1175,830,605,400,705,265,135,1310,2420,2070,1650,1030,515,330,130,205,80,30,5325,6155,985,9895,5125,5345,4560,2570,2650,5335,2550,2695,11480,12400,6605,8625,845,790,350
"413","J9Y",48.1606661342,-79.0713569758,10205,5285,4915,1269,1149,1993,1873,783,37.5,38.5,5285,4915,658,617,576,576,1026,970,995,885,428,348,880,1135,1090,1245,1080,735,565,370,660,235,165,305,415,465,580,620,460,375,305,555,190,150,570,725,630,670,455,280,185,70,105,40,15,3595,280,55,2430,3020,2615,1385,1505,1305,1050,1510,1310,3885,3855,330,2980,510,640,295
"414","J9Z",48.8204888063,-79.2099512926,7340,3640,3700,843,621,1178,1582,947,45.1,48.1,3640,3700,453,387,302,327,597,576,773,809,444,505,715,1225,1165,935,685,395,295,180,245,90,50,275,425,520,450,415,265,210,145,205,80,45,440,800,640,490,270,130,85,35,45,15,10,2200,1235,270,2695,1535,2015,1285,770,1005,1415,770,1005,3435,3610,1210,1240,265,290,125
